loc_x,loc_y,seconds_remaining,shot_distance,shot_made_flag,shot_zone_range,shot_zone,shot_zone2,hot_hand,hot_hand_ind
123,148,27,19,0,16-24 ft.,6,2500,heat,3
0,0,21,0,0,Less Than 8 ft.,2,600,heat,3
-122,137,36,18,1,16-24 ft.,6,2500,nil,2
-149,-15,16,14,1,8-16 ft.,4,1200,heat,3
237,40,26,24,1,24+ ft.,8,5000,heat,3
-1,160,13,16,0,16-24 ft.,6,2500,hot hand,6
-176,-15,35,17,0,16-24 ft.,6,2500,nil,2
0,0,4,0,1,Less Than 8 ft.,2,600,heat,3
39,192,2,19,1,16-24 ft.,6,2500,nil,2
0,0,24,0,1,Less Than 8 ft.,2,600,heat,3
60,17,38,6,1,Less Than 8 ft.,2,600,heat,3
150,116,41,18,1,16-24 ft.,6,2500,heat,3
102,160,54,18,0,16-24 ft.,6,2500,heat,3
0,0,27,0,0,Less Than 8 ft.,2,600,heat,3
-4,167,37,16,1,16-24 ft.,6,2500,heat,3
180,4,57,18,1,16-24 ft.,6,2500,heat,3
159,0,2,15,0,8-16 ft.,4,1200,hot hand,6
0,0,14,0,0,Less Than 8 ft.,2,600,nil,2
0,0,40,0,1,Less Than 8 ft.,2,600,nil,2
231,-4,59,23,1,24+ ft.,8,5000,heat,3
-39,21,28,4,0,Less Than 8 ft.,2,600,nil,2
-60,167,34,17,0,16-24 ft.,6,2500,heat,3
-231,-4,29,23,1,24+ ft.,8,5000,nil,2
1,78,35,7,1,Less Than 8 ft.,2,600,heat,3
-225,-21,42,22,0,24+ ft.,8,5000,heat,3
-60,156,5,16,0,16-24 ft.,6,2500,nil,2
-189,4,22,18,0,16-24 ft.,6,2500,heat,3
30,251,0,25,0,24+ ft.,8,5000,heat,3
-153,0,18,15,1,8-16 ft.,4,1200,nil,2
108,11,34,10,1,8-16 ft.,4,1200,nil,2
-96,318,0,33,0,24+ ft.,8,5000,nil,2
26,55,27,6,1,Less Than 8 ft.,2,600,nil,2
172,99,19,19,0,16-24 ft.,6,2500,nil,2
-50,68,11,8,1,8-16 ft.,4,1200,nil,2
186,-2,24,18,0,16-24 ft.,6,2500,heat,3
0,0,29,0,1,Less Than 8 ft.,2,600,heat,3
0,0,0,0,1,Less Than 8 ft.,2,600,nil,2
159,116,30,19,0,16-24 ft.,6,2500,nil,2
0,0,2,0,1,Less Than 8 ft.,2,600,nil,2
-44,13,2,4,0,Less Than 8 ft.,2,600,nil,2
172,-2,46,17,0,16-24 ft.,6,2500,heat,3
102,133,32,16,1,16-24 ft.,6,2500,nil,2
138,209,33,25,0,24+ ft.,8,5000,nil,2
-58,17,55,6,0,Less Than 8 ft.,2,600,heat,3
-71,192,47,20,0,16-24 ft.,6,2500,nil,2
-1,72,7,7,0,Less Than 8 ft.,2,600,nil,2
-145,21,9,14,0,8-16 ft.,4,1200,nil,2
123,181,42,21,1,16-24 ft.,6,2500,heat,3
-130,160,21,20,0,16-24 ft.,6,2500,heat,3
0,0,16,0,1,Less Than 8 ft.,2,600,nil,2
-115,247,32,27,1,24+ ft.,8,5000,nil,2
132,120,59,17,1,16-24 ft.,6,2500,nil,2
0,0,24,0,1,Less Than 8 ft.,2,600,heat,3
-176,318,0,36,0,24+ ft.,8,5000,nil,2
0,0,29,0,1,Less Than 8 ft.,2,600,nil,2
-143,198,28,24,1,24+ ft.,8,5000,nil,2
102,137,46,17,1,16-24 ft.,6,2500,nil,2
-10,247,38,24,0,24+ ft.,8,5000,nil,2
138,110,16,17,1,16-24 ft.,6,2500,nil,2
0,0,30,0,0,Less Than 8 ft.,2,600,nil,2
60,133,32,14,0,8-16 ft.,4,1200,heat,3
-1,78,58,7,0,Less Than 8 ft.,2,600,nil,2
-23,61,50,6,0,Less Than 8 ft.,2,600,heat,3
0,0,24,0,0,Less Than 8 ft.,2,600,heat,3
75,23,11,7,0,Less Than 8 ft.,2,600,hot hand,6
0,0,14,0,0,Less Than 8 ft.,2,600,nil,2
0,0,17,0,0,Less Than 8 ft.,2,600,nil,2
11,175,56,17,1,16-24 ft.,6,2500,heat,3
0,0,17,0,1,Less Than 8 ft.,2,600,nil,2
-197,28,13,19,0,16-24 ft.,6,2500,heat,3
0,0,11,0,1,Less Than 8 ft.,2,600,nil,2
138,110,44,17,0,16-24 ft.,6,2500,heat,3
11,291,35,29,0,24+ ft.,8,5000,nil,2
-98,253,39,27,1,24+ ft.,8,5000,nil,2
-122,236,22,26,0,24+ ft.,8,5000,nil,2
110,127,46,16,0,16-24 ft.,6,2500,nil,2
110,23,52,11,0,8-16 ft.,4,1200,heat,3
32,61,50,6,1,Less Than 8 ft.,2,600,heat,3
87,28,18,9,0,8-16 ft.,4,1200,heat,3
144,219,3,26,0,24+ ft.,8,5000,heat,3
-107,247,50,26,0,24+ ft.,8,5000,nil,2
-86,13,28,8,0,8-16 ft.,4,1200,nil,2
-136,7,26,13,0,8-16 ft.,4,1200,heat,3
-71,45,12,8,0,8-16 ft.,4,1200,heat,3
-71,270,0,27,0,24+ ft.,8,5000,nil,2
0,0,2,0,1,Less Than 8 ft.,2,600,heat,3
0,0,58,0,1,Less Than 8 ft.,2,600,heat,3
81,15,24,8,0,8-16 ft.,4,1200,nil,2
81,4,6,8,1,8-16 ft.,4,1200,heat,3
-4,72,56,7,0,Less Than 8 ft.,2,600,heat,3
96,152,54,17,1,16-24 ft.,6,2500,hot hand,6
0,0,37,0,1,Less Than 8 ft.,2,600,heat,3
108,-15,8,10,0,8-16 ft.,4,1200,nil,2
1,51,35,5,0,Less Than 8 ft.,2,600,heat,3
-122,198,39,23,0,16-24 ft.,6,2500,nil,2
81,148,2,16,0,16-24 ft.,6,2500,heat,3
191,4,32,19,1,16-24 ft.,6,2500,heat,3
167,-4,54,16,0,16-24 ft.,6,2500,heat,3
-42,11,19,4,1,Less Than 8 ft.,2,600,nil,2
0,0,3,0,1,Less Than 8 ft.,2,600,heat,3
0,0,39,0,1,Less Than 8 ft.,2,600,nil,2
-56,238,30,24,0,24+ ft.,8,5000,heat,3
0,0,18,0,1,Less Than 8 ft.,2,600,heat,3
0,0,3,0,0,Less Than 8 ft.,2,600,nil,2
-136,-2,59,13,0,8-16 ft.,4,1200,nil,2
-58,55,35,7,0,Less Than 8 ft.,2,600,nil,2
75,106,16,12,1,8-16 ft.,4,1200,nil,2
110,226,35,25,1,24+ ft.,8,5000,heat,3
-157,192,1,24,0,24+ ft.,8,5000,nil,2
102,154,48,18,0,16-24 ft.,6,2500,heat,3
0,0,43,0,1,Less Than 8 ft.,2,600,nil,2
0,0,22,0,1,Less Than 8 ft.,2,600,heat,3
0,0,8,0,0,Less Than 8 ft.,2,600,nil,2
0,0,22,0,0,Less Than 8 ft.,2,600,heat,3
39,175,43,17,1,16-24 ft.,6,2500,heat,3
-141,11,58,14,0,8-16 ft.,4,1200,nil,2
0,0,14,0,1,Less Than 8 ft.,2,600,heat,3
-149,38,45,15,1,8-16 ft.,4,1200,nil,2
-176,122,44,21,0,16-24 ft.,6,2500,heat,3
153,127,24,19,1,16-24 ft.,6,2500,heat,3
-4,255,45,25,1,24+ ft.,8,5000,hot hand,6
-155,38,12,15,0,8-16 ft.,4,1200,hot hand,6
144,127,15,19,0,16-24 ft.,6,2500,hot hand,6
0,0,51,0,1,Less Than 8 ft.,2,600,hot hand,6
16,209,17,20,1,16-24 ft.,6,2500,nil,2
-191,165,50,25,0,24+ ft.,8,5000,heat,3
0,0,24,0,1,Less Than 8 ft.,2,600,heat,3
1,72,1,7,1,Less Than 8 ft.,2,600,nil,2
-176,93,48,19,0,16-24 ft.,6,2500,nil,2
1,160,35,16,1,16-24 ft.,6,2500,nil,2
159,45,24,16,0,16-24 ft.,6,2500,nil,2
-206,89,53,22,1,16-24 ft.,6,2500,nil,2
237,21,28,23,0,24+ ft.,8,5000,heat,3
-4,255,0,25,0,24+ ft.,8,5000,heat,3
123,49,40,13,0,8-16 ft.,4,1200,nil,2
0,0,56,0,1,Less Than 8 ft.,2,600,heat,3
-130,-2,46,13,0,8-16 ft.,4,1200,nil,2
-115,127,58,17,0,16-24 ft.,6,2500,nil,2
-56,0,51,5,1,Less Than 8 ft.,2,600,nil,2
0,0,11,0,1,Less Than 8 ft.,2,600,nil,2
62,116,0,13,1,8-16 ft.,4,1200,nil,2
47,236,14,24,0,24+ ft.,8,5000,heat,3
161,181,11,24,0,24+ ft.,8,5000,heat,3
56,47,48,7,1,Less Than 8 ft.,2,600,hot hand,6
125,165,59,20,0,16-24 ft.,6,2500,heat,3
24,47,4,5,0,Less Than 8 ft.,2,600,nil,2
0,0,26,0,0,Less Than 8 ft.,2,600,nil,2
-157,23,7,15,0,8-16 ft.,4,1200,heat,3
-109,171,57,20,1,16-24 ft.,6,2500,heat,3
110,116,57,15,0,8-16 ft.,4,1200,heat,3
0,0,3,0,1,Less Than 8 ft.,2,600,heat,3
182,-23,13,18,0,16-24 ft.,6,2500,heat,3
0,0,5,0,0,Less Than 8 ft.,2,600,nil,2
83,0,30,8,0,8-16 ft.,4,1200,nil,2
-149,148,50,21,1,16-24 ft.,6,2500,nil,2
0,0,53,0,1,Less Than 8 ft.,2,600,heat,3
1,129,35,12,1,8-16 ft.,4,1200,nil,2
0,0,40,0,1,Less Than 8 ft.,2,600,nil,2
0,0,3,0,1,Less Than 8 ft.,2,600,heat,3
79,181,13,19,1,16-24 ft.,6,2500,heat,3
0,0,21,0,1,Less Than 8 ft.,2,600,nil,2
41,30,50,5,0,Less Than 8 ft.,2,600,heat,3
-94,89,47,12,1,8-16 ft.,4,1200,heat,3
98,196,26,21,0,16-24 ft.,6,2500,nil,2
0,0,15,0,1,Less Than 8 ft.,2,600,nil,2
136,30,6,13,0,8-16 ft.,4,1200,nil,2
-73,179,21,19,0,16-24 ft.,6,2500,nil,2
0,0,17,0,1,Less Than 8 ft.,2,600,heat,3
20,63,32,6,1,Less Than 8 ft.,2,600,heat,3
0,0,33,0,1,Less Than 8 ft.,2,600,nil,2
106,63,35,12,1,8-16 ft.,4,1200,nil,2
49,207,27,21,1,16-24 ft.,6,2500,nil,2
-136,99,39,16,1,16-24 ft.,6,2500,heat,3
140,116,27,18,0,16-24 ft.,6,2500,nil,2
-166,15,36,16,1,16-24 ft.,6,2500,heat,3
0,0,45,0,1,Less Than 8 ft.,2,600,heat,3
0,0,10,0,1,Less Than 8 ft.,2,600,nil,2
-115,150,18,18,0,16-24 ft.,6,2500,nil,2
146,55,54,15,1,8-16 ft.,4,1200,heat,3
-1,160,17,16,0,16-24 ft.,6,2500,nil,2
-130,76,18,15,0,8-16 ft.,4,1200,nil,2
-130,177,42,21,1,16-24 ft.,6,2500,nil,2
-151,0,57,15,0,8-16 ft.,4,1200,heat,3
176,-13,56,17,0,16-24 ft.,6,2500,heat,3
-187,66,11,19,1,16-24 ft.,6,2500,hot hand,6
81,17,42,8,1,8-16 ft.,4,1200,heat,3
81,165,50,18,0,16-24 ft.,6,2500,nil,2
117,171,49,20,1,16-24 ft.,6,2500,heat,3
-157,198,37,25,0,24+ ft.,8,5000,heat,3
45,110,25,11,0,8-16 ft.,4,1200,nil,2
0,0,10,0,1,Less Than 8 ft.,2,600,nil,2
144,154,14,21,1,16-24 ft.,6,2500,nil,2
45,51,5,6,1,Less Than 8 ft.,2,600,heat,3
-136,-19,7,13,0,8-16 ft.,4,1200,heat,3
5,137,39,13,1,8-16 ft.,4,1200,nil,2
123,154,37,19,0,16-24 ft.,6,2500,heat,3
144,232,0,27,0,24+ ft.,8,5000,heat,3
117,160,41,19,1,16-24 ft.,6,2500,nil,2
39,40,26,5,0,Less Than 8 ft.,2,600,heat,3
-105,21,57,10,1,8-16 ft.,4,1200,nil,2
100,0,38,10,1,8-16 ft.,4,1200,nil,2
138,4,1,13,0,8-16 ft.,4,1200,nil,2
94,21,54,9,0,8-16 ft.,4,1200,heat,3
159,192,20,24,1,24+ ft.,8,5000,heat,3
167,68,26,18,1,16-24 ft.,6,2500,heat,3
1,175,45,17,0,16-24 ft.,6,2500,nil,2
-4,97,47,9,0,8-16 ft.,4,1200,nil,2
-141,205,21,24,1,24+ ft.,8,5000,nil,2
0,0,13,0,1,Less Than 8 ft.,2,600,nil,2
195,-4,54,19,1,16-24 ft.,6,2500,nil,2
